Movie Title,Release Date,Budget ($),Box Office Revenue ($)
Dr. Seuss' The Lorax,2012-03-02,"$70,000,000.00","$348,800,000.00"
Dracula Untold,2014-10-10,"$70,000,000.00","$217,100,000.00"
Draft Day,2014-04-07,"$25,000,000.00","$29,500,000.00"
Dragon Blade,2015-02-18,"$65,000,000.00","$120,000,000.00"
Dumb and Dumber To,2014-11-14,"$50,000,000.00","$169,800,000.00"
Earth to Echo,2014-06-14,"$13,000,000.00","$45,300,000.00"
Eddie the Eagle,2016-02-26,"$23,000,000.00","$46,200,000.00"
Edge of Tomorrow,2014-05-28,"$178,000,000.00","$370,500,000.00"
Elysium,2013-08-09,"$115,000,000.00","$286,100,000.00"
Embrace of the Serpent,2015-05-15,"$1,400,000.00","$2,800,000.00"
End of Watch,2012-09-21,"$7,000,000.00","$48,100,000.00"
Enough Said,2013-09-20,"$8,000,000.00","$25,300,000.00"
Entourage,2015-05-27,"$39,000,000.00","$49,300,000.00"
Epic,2013-05-24,"$93,000,000.00","$268,400,000.00"
Escape from Planet Earth,2013-02-15,"$40,000,000.00","$74,600,000.00"
Evil Dead,2013-04-05,"$17,000,000.00","$97,500,000.00"
Ex Machina,2015-01-21,"$15,000,000.00","$36,900,000.00"
Eye in the Sky,2015-09-11,"$13,000,000.00","$32,800,000.00"
Fantastic Four,2015-08-04,"$120,000,000.00","$168,000,000.00"
Fast & Furious 6,2013-05-17,"$160,000,000.00","$788,700,000.00"
Flight,2012-11-02,"$31,000,000.00","$161,800,000.00"
Florence Foster Jenkins,2016-04-27,"$19,000,000.00","$31,700,000.00"
Frances Ha,2013-05-17,"$3,000,000.00","$11,300,000.00"
Free State of Jones,2016-06-16,"$50,000,000.00","$21,200,000.00"
Friends with Kids,2012-03-09,"$10,000,000.00","$12,200,000.00"
Fun Size,2012-10-26,"$14,000,000.00","$11,400,000.00"
Fury,2014-10-15,"$68,000,000.00","$211,800,000.00"
G.I. Joe: Retaliation,2013-03-27,"$130,000,000.00","$375,700,000.00"
Gangster Squad,2013-01-11,"$75,000,000.00","$105,200,000.00"
Get Hard,2015-03-27,"$40,000,000.00","$111,800,000.00"
Get on Up,2014-08-01,"$30,000,000.00","$33,400,000.00"
Getaway,2013-08-30,"$18,000,000.00","$11,800,000.00"
Ghost Rider: Spirit of Vengeance,2012-02-17,"$57,000,000.00","$132,600,000.00"
Ghostbusters,2016-07-15,"$144,000,000.00","$217,500,000.00"
God's Not Dead,2014-03-21,"$2,000,000.00","$62,600,000.00"
God's Not Dead 2,2016-04-01,"$5,000,000.00","$23,500,000.00"
Gods of Egypt,2016-02-25,"$140,000,000.00","$145,700,000.00"
Godzilla,2014-05-08,"$160,000,000.00","$529,000,000.00"
Gone Girl,2014-09-26,"$61,000,000.00","$369,300,000.00"
Good Deeds,2012-02-24,"$14,000,000.00","$35,600,000.00"
Goosebumps,2015-10-05,"$84,000,000.00","$150,200,000.00"
Grown Ups 2,2013-07-12,"$80,000,000.00","$247,000,000.00"
"Hail, Caesar!",2016-02-05,"$22,000,000.00","$22,000,000.00"
Hands of Stone,2016-08-26,"$20,000,000.00","$1,700,000.00"
Hansel and Gretel: Witch Hunters,2013-01-17,"$50,000,000.00","$226,300,000.00"
Heaven Is for Real,2014-04-16,"$12,000,000.00","$101,300,000.00"
