Movie Title,Release Date,Budget ($),Box Office Revenue ($)
The Huntsman: Winter's War,2016-04-22,"$115,000,000.00","$164,600,000.00"
The Iceman,2013-05-03,"$10,000,000.00","$4,400,000.00"
The Identical,2014-04-17,"$16,000,000.00","$2,800,000.00"
The Imitation Game,2014-08-29,"$14,000,000.00","$233,600,000.00"
The Impossible,2012-12-21,"$45,000,000.00","$180,300,000.00"
The Incredible Burt Wonderstone,2013-03-15,"$34,000,000.00","$27,400,000.00"
The Infiltrator,2016-07-13,"$47,500,000.00","$15,200,000.00"
The Intern,2015-09-15,"$44,000,000.00","$194,600,000.00"
The Internship,2013-06-07,"$58,000,000.00","$93,000,000.00"
The Interview,2014-12-11,"$44,000,000.00","$11,300,000.00"
The Judge,2014-09-04,"$50,000,000.00","$84,400,000.00"
The Lady in the Van,2015-12-04,"$6,000,000.00","$41,400,000.00"
The Last Exorcism Part II,2013-03-01,"$5,000,000.00","$15,100,000.00"
The Last Stand,2013-01-18,"$45,000,000.00","$48,300,000.00"
The Last Witch Hunter,2015-10-23,"$90,000,000.00","$140,400,000.00"
The Lazarus Effect,2015-02-27,"$3,300,000.00","$38,400,000.00"
The Legend of Hercules,2014-01-10,"$70,000,000.00","$61,300,000.00"
The Legend of Tarzan,2016-07-01,"$180,000,000.00","$352,700,000.00"
The Lego Movie,2014-02-01,"$60,000,000.00","$469,200,000.00"
The Letters,2015-12-04,"$1,000,000.00","$1,600,000.00"
The Lucky One,2012-04-20,"$25,000,000.00","$99,400,000.00"
The Man from U.N.C.L.E.,2015-08-07,"$75,000,000.00","$109,800,000.00"
The Man with the Iron Fists,2012-11-02,"$20,000,000.00","$20,300,000.00"
The Martian,2015-09-11,"$108,000,000.00","$630,200,000.00"
The Master,2012-09-14,"$32,000,000.00","$28,300,000.00"
The Maze Runner,2014-09-19,"$34,000,000.00","$348,300,000.00"
The Mermaid,2016-02-08,"$60,720,000.00","$553,800,000.00"
The Monuments Men,2014-02-07,"$70,000,000.00","$155,000,000.00"
The Mortal Instruments: City of Bones,2013-08-21,"$60,000,000.00","$90,600,000.00"
The Night Before,2015-11-20,"$25,000,000.00","$52,400,000.00"
The November Man,2014-08-27,"$15,000,000.00","$34,800,000.00"
The Nut Job,2014-01-11,"$42,800,000.00","$120,900,000.00"
The Oogieloves in the Big Balloon Adventure,2012-08-29,"$20,000,000.00","$1,100,000.00"
The Other Woman,2014-03-31,"$40,000,000.00","$196,700,000.00"
The Peanuts Movie,2015-11-01,"$99,000,000.00","$246,200,000.00"
The Perfect Guy,2015-09-02,"$18,000,000.00","$60,300,000.00"
The Perfect Match,2016-03-11,"$5,000,000.00","$10,400,000.00"
The Perks of Being a Wallflower,2012-09-21,"$13,000,000.00","$33,400,000.00"
The Pirates! Band of Misfits,2012-04-27,"$55,000,000.00","$123,000,000.00"
The Place Beyond the Pines,2013-03-29,"$15,000,000.00","$47,000,000.00"
The Possession,2012-08-31,"$14,000,000.00","$78,500,000.00"
The Purge,2013-05-31,"$3,000,000.00","$89,300,000.00"
The Purge: Election Year,2016-07-01,"$10,000,000.00","$105,600,000.00"
The Raid 2,2014-01-21,"$4,500,000.00","$6,600,000.00"
The Raid: Redemption ₪,2012-03-23,"$1,100,000.00","$9,140,000.00"
The Raven,2012-04-27,"$26,000,000.00","$29,700,000.00"
The Revenant,2015-12-25,"$135,000,000.00","$533,000,000.00"
The Second Best Exotic Marigold Hotel,2015-02-26,"$10,000,000.00","$86,000,000.00"
The Second Mother,2015-01-25,"$4,000,000.00","$6,200,000.00"
The Secret Life of Pets,2016-07-08,"$75,000,000.00","$724,900,000.00"
The Secret World of Arrietty,2012-02-17,"$23,000,000.00","$145,600,000.00"
The Shallows,2016-06-21,"$17,000,000.00","$93,200,000.00"
The Signal,2014-01-20,"$4,000,000.00","$2,420,000.00"
The Single Moms Club,2014-03-14,"$8,000,000.00","$16,300,000.00"
The Smurfs 2,2013-07-31,"$105,000,000.00","$347,500,000.00"
The Spectacular Now,2013-08-02,"$2,500,000.00","$6,900,000.00"
The SpongeBob Movie: Sponge Out of Water,2015-02-06,"$74,000,000.00","$323,400,000.00"
The Sweet Escape,2015-06-10,"$3,800,000.00","$3,300,000.00"
The Theory of Everything,2014-09-07,"$15,000,000.00","$123,700,000.00"
The Three Stooges,2012-04-13,"$30,000,000.00","$54,800,000.00"
The Transporter Refueled,2015-09-04,"$25,000,000.00","$72,600,000.00"
The Twilight Saga: Breaking Dawn – Part 2,2012-11-16,"$120,000,000.00","$829,700,000.00"
The Vatican Tapes,2015-07-25,"$13,000,000.00","$13,500,000.00"
The Visit,2015-09-08,"$5,000,000.00","$98,500,000.00"
The Walk,2015-09-30,"$45,000,000.00","$61,200,000.00"
The Watch,2012-07-27,"$68,000,000.00","$68,300,000.00"
The Water Diviner,2014-12-26,"$22,500,000.00","$30,800,000.00"
"The Way, Way Back",2013-07-05,"$5,000,000.00","$5,000,000.00"
The Wedding Ringer,2015-01-16,"$23,000,000.00","$79,800,000.00"
The Witch,2016-01-27,"$3,000,000.00","$40,400,000.00"
The Wolverine,2013-07-24,"$120,000,000.00","$414,800,000.00"
The Woman in Black,2012-02-03,"$15,000,000.00","$128,500,000.00"
The Woman in Black: Angel of Death,2014-12-30,"$15,000,000.00","$48,900,000.00"
The World's End,2013-07-19,"$20,000,000.00","$46,100,000.00"
The Young Messiah,2016-03-11,"$18,500,000.00","$7,200,000.00"
Think Like a Man,2012-04-20,"$12,000,000.00","$96,100,000.00"
This Is the End,2013-06-12,"$32,000,000.00","$126,000,000.00"
This Is Where I Leave You,2014-09-19,"$19,800,000.00","$41,300,000.00"
This Means War,2012-02-17,"$65,000,000.00","$156,500,000.00"
Top Five,2014-09-06,"$12,000,000.00","$26,100,000.00"
Top Gun 3D,2013-02-08,"$15,000,000.00","$356,800,000.00"
Total Recall,2012-08-03,"$125,000,000.00","$198,500,000.00"
Trance,2013-03-27,"$20,000,000.00","$24,300,000.00"
Transcendence,2014-04-10,"$100,000,000.00","$103,000,000.00"
Triple 9,2016-02-16,"$20,000,000.00","$23,400,000.00"
Trouble with the Curve,2012-09-21,"$60,000,000.00","$49,000,000.00"
Trumbo,2015-09-12,"$15,000,000.00","$8,200,000.00"
Truth,2015-09-12,"$9,600,000.00","$5,400,000.00"
Turbo,2013-07-17,"$127,000,000.00","$282,600,000.00"
Tusk,2014-09-06,"$3,000,000.00","$1,900,000.00"
Unbroken,2014-11-17,"$65,000,000.00","$163,400,000.00"
Unfinished Business,2015-03-06,"$35,000,000.00","$14,400,000.00"
Unfriended,2014-07-20,"$1,000,000.00","$64,100,000.00"
Vacation,2015-07-29,"$31,000,000.00","$104,900,000.00"
Vampire Academy,2014-02-07,"$30,000,000.00","$15,400,000.00"
Veronica Mars,2014-03-14,"$6,000,000.00","$3,500,000.00"
Victor Frankenstein,2015-11-25,"$40,000,000.00","$34,200,000.00"
Wanderlust,2012-02-24,"$35,000,000.00","$24,200,000.00"
War Dogs,2016-08-19,"$40,000,000.00","$42,700,000.00"
War Room,2015-08-28,"$3,000,000.00","$73,700,000.00"
Warcraft,2016-06-10,"$160,000,000.00","$433,500,000.00"
Warm Bodies,2013-02-01,"$35,000,000.00","$117,000,000.00"
What Maisie Knew,2013-05-03,"$5,000,000.00","$2,700,000.00"
What to Expect When You're Expecting,2012-05-18,"$40,000,000.00","$84,400,000.00"
When the Game Stands Tall,2014-08-04,"$15,000,000.00","$30,100,000.00"
Whiplash,2014-01-16,"$3,300,000.00","$49,000,000.00"
Whiskey Tango Foxtrot,2016-03-04,"$35,000,000.00","$24,900,000.00"
White House Down,2013-06-28,"$150,000,000.00","$205,000,000.00"
Wild,2014-08-29,"$15,000,000.00","$52,500,000.00"
Winter's Tale,2014-02-13,"$60,000,000.00","$31,100,000.00"
Wish I Was Here,2014-01-18,"$6,000,000.00","$5,500,000.00"
Woman in Gold,2015-04-01,"$11,000,000.00","$61,600,000.00"
Won't Back Down,2012-09-28,"$19,000,000.00","$5,400,000.00"
Woodlawn,2015-10-16,"$13,000,000.00","$14,400,000.00"
World War Z,2013-06-21,"$190,000,000.00","$540,000,000.00"
Wrath of the Titans,2012-03-30,"$150,000,000.00","$305,300,000.00"
X-Men: Apocalypse,2016-05-09,"$178,000,000.00","$544,600,000.00"
X-Men: Days of Future Past,2014-05-10,"$200,000,000.00","$747,900,000.00"
You're Next,2013-08-23,"$1,000,000.00","$26,800,000.00"
Zero Dark Thirty,2012-12-19,"$40,000,000.00","$132,800,000.00"
Zhong Kui: Snow Girl and the Dark Crystal,2015-02-19,"$30,000,000.00","$64,470,000.00"
Zoolander 2,2016-02-12,"$50,000,000.00","$56,000,000.00"
